ID1,Pond,Pond2,Sample,Sample2,Cmg,Nmg,TotalMG,Npercent,Cpercent,Cnratio
1,Waterfall,2a,D1,1,2.089730604,0.032907496,4.950,0.664797899,42.21677988,63.50317885
1,Waterfall,2a,D1,1,2.122971636,0.035471873,5.064,0.700471426,41.92282062,59.84943721
2,Waterfall,2a,D2,2,2.185584285,0.046797147,5.062,0.924479395,43.17629959,46.70336602
3,Waterfall,2a,D3,3,1.266916699,0.024135578,5.056,0.477365071,25.05768788,52.491666
4,Golf,1c,D1,4,2.156069489,0.043367332,4.96,0.874341371,43.46914292,49.71644299
5,Golf,1c,D2,5,1.996293861,0.031505509,5.07,0.621410434,39.37463237,63.36332674
6,Golf,1c,D3,6,1.54586361,0.027525826,4.907,0.560950194,31.50323232,56.16048034
7,No Oil,1a,D1,7,1.875729424,0.052064885,4.950,1.051815859,37.89352372,36.02676591
8,No Oil,1a,D2,8,2.017437578,0.058300359,5.094,1.144490754,39.60419274,34.60420506
9,No Oil,1a,D3,9,2.008781011,0.05063259,5.120,0.988917773,39.23400412,39.6736768
10,Oil,1b,D1,10,2.273263087,0.042756969,5.040,0.84835256,45.10442633,53.16707756
11,Oil,1b,D2,11,2.228295758,0.038984867,5.003,0.779229802,44.53919165,57.15796742
12,Oil,1b,D3,12,2.247172646,0.047327302,5.112,0.925807942,43.95877633,47.48152865
13,East,1,D1,13,1.836356067,0.033928261,5.129,0.661498557,35.80339378,54.12467403
14,East,1,D2,14,1.665929688,0.029823462,5.081,0.58696048,32.78743728,55.8597016
15,East,1,D3,15,1.83840887,0.03069257,5.000,0.6138514,36.7681774,59.89752145
16,Vulgaris,3,D1,16,2.210573941,0.042553037,5.123,0.830627308,43.14998909,51.94867621
17,Vulgaris,3,D2,17,2.057838543,0.056825595,5.007,1.134923008,41.09923194,36.21323354
18,Vulgaris,3,D3,18,2.127086997,0.0392645,5.008,0.784035543,42.47378189,54.17328623
19,Vulgaris small,3a,D1,19,2.236407061,0.042924819,5.038,0.85202102,44.39077136,52.10055891
19,Vulgaris small,3a,D1,20,2.36070613,0.045261432,4.934,0.917337495,47.84568565,52.15712419
20,Vulgaris small,3a,D2,21,2.262181397,0.049290623,5.098,0.966861965,44.37389951,45.89476171
21,Vulgaris small,3a,D3,22,2.288239535,0.058362896,5.080,1.148875906,45.04408533,39.20709375
22,Ice,4,D1,23,1.772097991,0.031461436,5.010,0.627972774,35.37121739,56.32603645
23,Ice,4,D2,24,1.89778231,0.031818743,5.018,0.634092128,37.81949601,59.64353494
24,Ice,4,D3,25,2.125550267,0.02960893,4.950,0.598160202,42.94040943,71.78747314
