Pond,Treatment,AFDM
East,Cage,3.875666667
Golf,Cage,3.22
Ice,Cage,3.58421875
NoOil,Cage,2.398472222
Oil,Cage,2.165787037
V.small,Cage,6.66
Vulgaris,Cage,9.673125
Waterfall,Cage,3.406489899
East,No cage,2.033354167
Golf,No cage,2.370083333
Ice,No cage,2.020703125
NoOil,No cage,1.488277778
Oil,No cage,0.816018519
V.small,No cage,2.842833333
Vulgaris,No cage,6.37875
Waterfall,No cage,1.589848485
East,Pre,4.414666667
Golf,Pre,3.628333333
Ice,Pre,2.790666667
NoOil,Pre,5.882916667
Oil,Pre,4.089679784
V.small,Pre,2.451555556
Vulgaris,Pre,5.693819444
Waterfall,Pre,0.827272727
