Site,Year,SiteYear,date.1,date.2,lnmass.1,lnmass.2,RGR,ID
Black,2011,Black2011,5/23/2011,6/5/2011,2.784978817,4.895132862,0.162319542,Black2011RGR.1
Black,2011,Black2011,6/5/2011,6/13/2011,4.895132862,4.99352614,0.01229916,Black2011RGR.2
Black,2012,Black2012,5/8/2012,5/14/2012,2.919804661,3.983174415,0.177228292,Black2012RGR.1
Black,2012,Black2012,5/14/2012,5/21/2012,3.983174415,4.89484079,0.130238054,Black2012RGR.2
East,2011,East2011,5/23/2011,6/5/2011,2.622000655,4.271540748,0.126887699,East2011RGR.1
East,2011,East2011,6/5/2011,6/13/2011,4.271540748,4.769425289,0.062235568,East2011RGR.2
East,2012,East2012,5/8/2012,5/14/2012,2.323389726,3.047666925,0.120712866,East2012RGR.1
East,2012,East2012,5/14/2012,5/21/2012,3.047666925,3.829653961,0.111712434,East2012RGR.2
East,2017,East2017,5/25/2017,6/1/2017,3.334510339,4.603972265,0.181351704,East2017RGR.2
East,2017,East2017,5/17/2017,5/25/2017,2.357905126,3.334510339,0.122075652,East2017RGR.1
East,2017,East2017,6/1/2017,6/4/2017,4.603972265,4.771239976,0.055755904,East2017RGR.3
Ice,2011,Ice2011,5/23/2011,6/5/2011,2.49593203,4.337013691,0.141621666,Ice2011RGR.1
Ice,2012,Ice2012,5/8/2012,5/14/2012,2.278995488,3.234400622,0.159234189,Ice2012RGR.1
Ice,2012,Ice2012,5/14/2012,5/21/2012,3.234400622,4.099518757,0.123588305,Ice2012RGR.2
Ice,2017,Ice2017,5/17/2017,5/29/2017,2.658384548,4.53668695,0.1565252,Ice2017RGR.1
Ice,2017,Ice2017,5/29/2017,6/4/2017,4.53668695,4.979164386,0.073746239,Ice2017RGR.2
Mozvalley,2017,Mozvalley2017,5/23/2017,6/4/2017,3.489079399,4.649178843,0.096674954,Mozvalley2017RGR.1
Oil,2017,Oil2017,5/17/2017,5/25/2017,4.26004171,4.908963556,0.081115231,Oil2017RGR.1
SBS,2017,SBS2017,5/17/2017,5/28/2017,1.524799396,4.494401481,0.269963826,SBS2017RGR.1
SBS,2017,SBS2017,5/28/2017,6/5/2017,4.494401481,4.801233241,0.03835397,SBS2017RGR.2
SeahorseWetland,2017,SeahorseWetland2017,5/23/2017,5/29/2017,3.253438676,4.022044044,0.128100895,SeahorseWetland2017RGR.1
SeahorseWetland,2017,SeahorseWetland2017,5/29/2017,6/4/2017,4.022044044,4.654249243,0.105367533,SeahorseWetland2017RGR.2
ShotgunFairy,2017,ShotgunFairy2017,5/17/2017,5/28/2017,2.261802187,4.814259815,0.232041603,ShotgunFairy2017RGR.1
ShotgunFairy,2017,ShotgunFairy2017,5/28/2017,6/5/2017,4.814259815,4.765029999,-0.006153727,ShotgunFairy2017RGR.2
Target,2017,Target2017,5/17/2017,5/29/2017,3.241852115,4.760874429,0.126585193,Target2017RGR.1
Target,2017,Target2017,5/29/2017,6/4/2017,4.760874429,5.062240948,0.050227753,Target2017RGR.2
Vulgaris road,2017,Vulgaris road2017,5/17/2017,5/26/2017,2.336580018,4.650350136,0.257085569,Vulgaris road2017RGR.1
Vulgaris road,2017,Vulgaris road2017,5/26/2017,6/1/2017,4.650350136,4.804634281,0.025714024,Vulgaris road2017RGR.2
Vulgaris small,2017,Vulgaris small2017,5/23/2017,5/26/2017,2.792376328,4.599532491,0.602385388,Vulgaris small2017RGR.1
Vulgaris small,2017,Vulgaris small2017,6/1/2017,6/4/2017,4.512379996,4.905892263,0.131170756,Vulgaris small2017RGR.3
Vulgaris small,2017,Vulgaris small2017,6/4/2017,6/7/2017,4.905892263,5.11069628,0.068268006,Vulgaris small2017RGR.4
Vulgaris small,2017,Vulgaris small2017,5/26/2017,6/1/2017,4.599532491,4.512379996,-0.014525416,Vulgaris small2017RGR.2
Vulgaris,2011,Vulgaris2011,5/23/2011,6/5/2011,2.253992941,3.982249345,0.1329428,Vulgaris2011RGR.1
Vulgaris,2012,Vulgaris2012,5/8/2012,5/14/2012,2.693735999,3.83439596,0.190109994,Vulgaris2012RGR.1
Vulgaris,2012,Vulgaris2012,5/14/2012,5/21/2012,3.83439596,4.532829086,0.099776161,Vulgaris2012RGR.2
Vulgaris,2017,Vulgaris2017,5/17/2017,5/26/2017,3.165539274,4.48770926,0.146907776,Vulgaris2017RGR.1
Vulgaris,2017,Vulgaris2017,5/26/2017,6/1/2017,4.48770926,4.711299496,0.037265039,Vulgaris2017RGR.2
